doc_id,top_cluster,top_score
4163,19,0.9999643240560604
4017,16,0.9999476043097364
4057,7,0.999942429166177
4178,16,0.9999030090039184
4047,18,0.999774373177631
4130,22,0.9997411742900657
4117,0,0.9994491107145541
4081,4,0.9971894565305978
4134,13,0.9968161907140436
4008,9,0.9941693663997537
4023,21,0.994035268488329
4189,17,0.9916443025768132
4181,17,0.9913946822807129
4121,12,0.9900249952642443
652,3,0.989916592535871
4138,4,0.9897455254966989
4131,12,0.9892979646558899
4102,13,0.9886033064790384
4027,28,0.9881497706429689
4014,25,0.9879739787918174
188,3,0.9820859948807656
4075,2,0.9807459479521922
2492,3,0.9802444455113546
4122,28,0.9792372639213507
4028,12,0.978623185807268
4144,5,0.9778743926297995
4055,9,0.9772984844360986
844,3,0.9764082165954853
879,3,0.9758026170827198
1293,28,0.9757887379472001
4067,12,0.9753362384769174
4087,4,0.975033550500736
4093,12,0.9739384332833377
4013,23,0.972919517980277
102,3,0.9687120461634395
4176,0,0.9667875373685972
4103,14,0.9650268254274487
244,3,0.9639695271039879
4172,21,0.963272746345006
66,1,0.9620788812026305
4040,21,0.9607712166724967
309,3,0.9600589308889779
218,3,0.9588783973834487
253,3,0.9560409799898711
4018,4,0.9521583798160823
4173,0,0.9521145333792634
1719,3,0.951623484770034
4078,21,0.9495714126484658
4094,12,0.9473366820113565
2132,25,0.9466296556175893
360,3,0.9464215996518938
4177,28,0.9456351024369422
731,28,0.9431244220542377
2043,3,0.9430197960381291
4000,24,0.94095187435864
3481,3,0.9394410804324593
77,1,0.93892304208757
4060,21,0.9371573742583529
1199,28,0.9355402249828322
326,28,0.9355402060322804
595,28,0.9355381740287946
1423,28,0.9355381740287946
329,28,0.9355381740287946
706,28,0.93553817018657
1930,28,0.9355381575528962
1012,28,0.9355381575528962
569,3,0.9355342984199524
654,3,0.9355216359567853
4142,29,0.932379594044844
4012,11,0.9317948132358981
2318,28,0.9309403512701752
3689,3,0.9309141575209323
3292,3,0.9308893322939581
4171,27,0.9301315780840526
4105,13,0.929145387070315
2270,3,0.9274767925918999
851,3,0.9256125949321138
4140,9,0.9253520021263748
1270,3,0.919430341825339
4044,21,0.9177883205232434
238,3,0.9170404179063486
4002,19,0.9159369380599172
3655,12,0.9157319638370459
1025,3,0.9151244547156456
4191,12,0.9136049890072737
3234,28,0.9120935303579293
198,28,0.9120935303579293
1295,28,0.9120935303579293
4037,26,0.9114297875584496
4159,27,0.9095824212606547
4125,0,0.9090243768621874
4085,27,0.9072612659152856
2284,3,0.9049600108069186
538,28,0.903245591829416
2489,3,0.9021723388046144
1920,1,0.9017325330530928
4113,27,0.9017303328152172
323,3,0.9007003762882843
1430,3,0.8967907144772966
340,3,0.8964489893563977
4095,18,0.8959202169459395
3058,20,0.8925732845939081
1040,28,0.8925688873580925
3353,3,0.892528530646868
2531,9,0.8895403823062421
2067,1,0.8887742049448752
4077,22,0.8869104648502065
4135,12,0.8860531769888969
2539,3,0.8855963902088059
4050,15,0.8849776208200754
3502,28,0.881635187414223
2340,21,0.8815743662736865
4167,21,0.8810729452311079
4092,23,0.8809995810312136
3277,28,0.879150982577582
1339,28,0.8791484955579298
552,16,0.8791472948679354
755,28,0.8791441896950263
2848,14,0.8791055556511662
768,1,0.8790657292548002
1074,3,0.8789605346873683
438,3,0.8754537911772854
4016,20,0.87438740650975
526,1,0.8740995927497005
1603,3,0.8727322317321741
1759,3,0.8719971087424278
1689,25,0.8717094977732184
121,3,0.8694048982807012
378,3,0.8673902879266484
3906,21,0.8649145185820338
196,3,0.8628465376556781
1306,28,0.8618870937465766
3107,20,0.8618795851667421
519,20,0.8618726046005276
2823,14,0.8618454212708361
2622,14,0.861839003634221
2141,3,0.8618039597145779
264,3,0.8615709711732253
457,3,0.860860919942509
4148,29,0.8605161829247888
1167,3,0.8599069896402632
980,3,0.8597215261042667
3801,12,0.8584796797231439
1499,0,0.858204002275101
3934,12,0.8580231975949462
2441,9,0.8576925457577247
289,3,0.857173324928532
1967,3,0.8569219469532903
301,3,0.8566447435580975
2433,9,0.8558594943986949
2164,3,0.8553082753777769
2467,9,0.8533462632142285
936,9,0.8518997428624209
1590,3,0.8506403207026512
2321,16,0.8486940829008471
270,3,0.8460129836021151
286,3,0.845837711278601
4063,13,0.8452764245979469
387,3,0.8447302200180302
399,3,0.8441836368491524
1959,9,0.843884655289092
178,3,0.8436275722560537
82,3,0.8432325336777404
780,3,0.8428517271104969
4193,23,0.8423414443779182
1860,3,0.8417234326583957
4046,13,0.8410791535599164
1943,9,0.8390405157603649
822,3,0.838867129457867
1764,28,0.8388669647065358
919,28,0.8388669420501195
21,3,0.8388532785242064
402,23,0.8388409268510618
528,23,0.8388409268510618
1872,23,0.8388409155232049
19,23,0.8388408606059479
779,16,0.8388086451926113
3873,9,0.8385975345189249
1514,1,0.8372827828210501
1873,29,0.8367674073900818
316,3,0.8365028875963603
2478,12,0.833351366526734
2613,1,0.8328231791795323
2898,3,0.8327937197464518
1063,28,0.832404213967876
4006,21,0.8316751991598106
24,9,0.8310803051993603
4188,16,0.8309381783904377
410,3,0.8293825400822035
2522,29,0.8291595094450198
2911,0,0.8271769707759438
295,28,0.8271628617277412
2570,29,0.8243883153878112
1157,0,0.824302485152426
858,9,0.8240892806168957
3631,9,0.8237295351593344
1114,0,0.8236190764750662
1808,3,0.8233607955671052
4168,29,0.8229140042795077
1706,3,0.822449889619117
310,1,0.8224370718713477
2633,12,0.8214059608647413
4147,21,0.820074065641632
670,1,0.8193739909263897
422,28,0.8184678455441426
392,28,0.8184519792751824
470,28,0.8183335608538846
504,28,0.8179345414644887
3680,9,0.8179119481181831
2896,25,0.81676271129884
3854,12,0.8160751762261074
252,3,0.8156298482529152
865,3,0.8150411593761684
283,3,0.8146669794769523
1971,3,0.8142112937473288
1179,3,0.8138078622769189
3218,1,0.8133140718589659
3702,9,0.8125520278623596
1373,3,0.8123668682851386
3485,29,0.8104014793026635
