doc_id,top_cluster,top_score
5323,3,0.9312742508602668
14978,32,0.9231260135302889
469,3,0.9193671286309981
3422,3,0.9168417573708683
4040,37,0.9150972783939454
13830,36,0.9125979130785167
6694,36,0.9123639082550532
1011,36,0.9085017645838198
11336,3,0.904566392112096
8165,37,0.9045445807810731
6571,37,0.9036012892688399
8152,3,0.9028370253447734
3249,36,0.9026111185207036
10880,37,0.9011095044387806
15039,32,0.9005961488396793
14944,36,0.8962284811483309
3737,3,0.8956489049834302
9307,3,0.8947707632424271
3944,3,0.8935563533093442
11505,3,0.8934108358847055
6692,3,0.893039252301923
4872,3,0.8929287603621323
14468,36,0.8929109589216406
14866,36,0.8919143055743617
5974,37,0.8912571822961916
15132,36,0.8901687075140906
5181,3,0.8897079154034907
12300,3,0.8887683359729308
10927,37,0.8887337607613842
14707,32,0.8881698398627675
1347,3,0.8867208418659082
10136,37,0.8859509827382479
788,3,0.8857829081967267
9585,3,0.885679079987158
8900,37,0.8853256463440037
13001,36,0.8844329525325839
267,3,0.8842287638800181
6297,3,0.8816123759494007
9434,37,0.8805563401936077
8824,3,0.8805244884801389
7909,37,0.8801717190310269
10754,36,0.8798614226780883
5149,36,0.8790403707305134
14720,36,0.8776775188803807
71,3,0.877225662092116
2729,3,0.8766538172636212
6065,3,0.8748734263910967
1188,3,0.8730315305536536
7533,36,0.8721397146939774
14552,36,0.8720258380446595
5137,36,0.8709716158015522
519,32,0.8691011125967021
2621,0,0.8688370169330479
8405,3,0.8685509931553519
6984,3,0.8665958889245197
6909,37,0.864480659182257
10704,3,0.8636498405486266
7683,7,0.862588028198825
6146,37,0.861812304051426
15087,32,0.8616050000096404
11385,37,0.8615948767107301
11062,3,0.8600048147081153
6926,36,0.859875315382085
7445,15,0.8589272022778788
7020,8,0.8586221755637532
9981,3,0.8585918611192339
1294,36,0.8576891538220403
7321,3,0.8575185414852293
1071,3,0.8574485958484871
4861,3,0.8564067241206695
4421,37,0.8548010743647144
11238,37,0.8546765353140733
7869,37,0.853567677753614
4091,36,0.8534946728687683
13804,32,0.8529825012839701
14414,3,0.8525071042377993
10694,3,0.8521620289135584
5526,15,0.851632158737419
5780,4,0.8511815863785271
8660,36,0.8510395289953517
3978,0,0.8497391883115
298,3,0.8495355999027306
6449,37,0.8486631854532048
4922,3,0.8480610775587327
12075,3,0.8466366350487321
9389,37,0.8465880372386156
8226,3,0.8458929793277542
11378,3,0.8455919869713773
1145,0,0.845561295231702
1093,36,0.8442471804016293
15127,36,0.8441816038172887
12131,36,0.8439860095701934
2507,36,0.8439119599670314
14641,36,0.8434795751504662
964,36,0.8434241746728617
1585,35,0.8433287743680778
14600,3,0.8430350413535683
5416,36,0.8427990392647908
1568,3,0.8424315661162445
2635,3,0.8418974651324319
7081,3,0.8418089348632349
3165,7,0.8417224291197409
4520,36,0.8408087698522315
8793,3,0.8405818957312458
15070,3,0.8405625442328685
3371,36,0.8403329085422337
12530,3,0.8403038455439843
4534,3,0.8402929259808919
2948,3,0.8401030447282016
4865,35,0.8400879881757009
8717,3,0.8399963324144721
2239,36,0.8396570823284122
12744,36,0.8392681303044853
7819,37,0.8392426809589957
860,3,0.8388894169318095
5402,37,0.8388436829578729
10243,3,0.838605864616717
12482,3,0.8375510197089824
13345,2,0.8372300484082296
7630,36,0.8369905981768017
14692,32,0.8362120527198886
1806,36,0.8348782502096846
2844,3,0.834773858754458
8603,32,0.8336675899002541
3555,36,0.8323229252736943
659,3,0.8321317637295621
2651,3,0.8320839666187494
5490,37,0.8310553985109371
5468,37,0.8308553963030717
6177,4,0.8308405713544843
11086,37,0.8303694733615882
4203,36,0.828966103472263
6772,37,0.8288388220899201
11848,2,0.8287300158523693
7693,37,0.8287109225894776
10300,3,0.828663205023149
3913,4,0.8279258870860039
4410,37,0.8273353829124578
3929,3,0.8272037642802815
14753,36,0.8261443843955839
13239,36,0.8260515089405228
9774,37,0.825863521236492
4293,3,0.8251130897065942
4562,0,0.8250932912389216
7790,37,0.8250560134196113
1203,36,0.8248764861507715
1219,36,0.8243636837841887
7969,37,0.8240460829346727
283,15,0.8239373268540258
407,3,0.8238465884286299
6427,3,0.8234323576696968
2899,3,0.8231053084114052
1141,3,0.8227991240487204
3908,37,0.8223692502163299
3396,3,0.8223543955348018
7467,3,0.822332360662429
1069,15,0.8216027899419637
7388,36,0.8207633431312693
8043,3,0.8206965570044061
504,7,0.8204432416873977
2706,36,0.8202637671959921
8710,3,0.819404345534699
941,36,0.8184931374943178
13139,36,0.8183997825083176
578,36,0.8181942577990521
3623,6,0.8177957081073497
4965,3,0.8175210385382898
9125,3,0.8160562797472485
10123,6,0.8158011079131199
4347,37,0.8153214865374006
2243,3,0.8149950566210816
11738,37,0.8149524550730843
3435,35,0.8141229440799652
9378,3,0.81379636576698
7063,37,0.8132073491450794
6444,2,0.8128346601124059
5629,4,0.8127637188490133
4687,22,0.8122766168739322
10174,31,0.8120567949015136
14794,36,0.8118903921426982
5177,3,0.8118856234170532
13071,36,0.8115694239537091
10627,36,0.8115520851896613
11150,37,0.8114270565650497
9984,37,0.8113569083564863
11564,37,0.8112961514598953
14475,36,0.81089775721643
10798,37,0.8108694981468513
15097,3,0.8104967685428864
6654,37,0.8101767897627904
1162,35,0.8092788831575521
14850,36,0.8089120015354216
6142,15,0.8088694851358175
61,3,0.8086367570888514
4738,4,0.8079138635067856
11252,36,0.8075951166957258
3332,22,0.8073161760082547
7491,3,0.8072165692709948
8993,3,0.8070759139860436
9122,37,0.8061863276713163
4991,3,0.8061392593867587
8490,3,0.8055998992980493
9065,2,0.8055610018197933
11914,3,0.8051121671252203
3851,36,0.8049282124715403
3012,22,0.8047889439668007
3166,3,0.8047205226594779
10894,36,0.803978411104954
6800,36,0.803618500238411
8245,3,0.8035647900774281
13445,3,0.8027875745182212
4316,3,0.8023634210977296
5364,37,0.802297216322278
9565,37,0.8022315618906805
3452,36,0.8022050092463491
6895,3,0.8021969578802892
8308,36,0.8021920872257673
6179,3,0.801165505615755
530,36,0.8010313322058826
6536,3,0.800982579364056
462,36,0.800715710711462
3844,0,0.8006777814380345
12457,3,0.8006595078147093
7812,37,0.7999815356102511
2496,37,0.7999096895524862
7546,37,0.7998404499376889
8834,36,0.7995061486849593
11730,3,0.79873780730717
6774,36,0.7985826310389812
11490,7,0.798493583504577
4838,0,0.7984304340396343
5650,37,0.7982476501401253
1705,37,0.797493352777883
14980,36,0.7974046156284295
8234,36,0.7971511644665504
3047,36,0.796971868472574
10648,37,0.7969518212485414
6429,37,0.7965055917848994
2259,3,0.7958973058340592
10564,2,0.7953840253872151
14385,36,0.7948621584561316
4350,3,0.7948013001181418
2171,36,0.7945137258396984
10470,3,0.7945137022191527
5213,36,0.7944343470846542
8168,37,0.7941317415454712
950,36,0.7940888319797613
1522,0,0.7940756378493744
1431,36,0.7940268982713135
13464,3,0.7938780586366957
8332,3,0.7936740143204287
10459,37,0.7929927311315319
4427,22,0.7929538414307701
4898,35,0.792732450437354
14342,36,0.7927078557864387
14450,3,0.7921708734179477
8828,3,0.7916496188934123
6231,16,0.791264839348478
6362,36,0.7911308119050798
8605,3,0.7907304258304771
11579,27,0.7896403810153765
7162,37,0.789101759113134
5853,2,0.7889625367421316
7956,37,0.7884908023980695
8263,36,0.787580269435046
6273,0,0.7875764405722125
8798,3,0.7875508543821198
949,35,0.7875064732449658
9921,37,0.7874760136323399
2940,3,0.7874111646831716
10606,36,0.7867215543931447
4736,3,0.7865500973385371
